Nome do Teste,Custo,Tempo de Execução,Memória
eil51.tsp,584,2.449954032897949,50.96875
st70.tsp,888,2.452049493789673,51.84765625
eil76.tsp,696,2.4396779537200928,52.9609375
berlin52.tsp,10114,2.445827007293701,53.46484375
eil101.tsp,830,2.4351837635040283,55.71875
rat99.tsp,1693,2.4313278198242188,57.41796875
pr76.tsp,145336,2.4920010566711426,56.30859375
kroC100.tsp,27968,2.480907917022705,56.75390625
kroD100.tsp,27112,2.4570634365081787,58.359375
kroE100.tsp,29965,2.550062417984009,60.20703125
kroA100.tsp,27210,1.8608448505401611,61.87109375
kroB100.tsp,25885,1.2953557968139648,63.72265625
lin105.tsp,19495,2.4592621326446533,57.5625
pr107.tsp,54237,2.483938694000244,58.11328125
pr124.tsp,74139,2.5004963874816895,60.71484375
kroB150.tsp,36150,1.3261797428131104,60.046875
kroA150.tsp,35119,1.345712423324585,62.76171875
pr136.tsp,151904,1.9174654483795166,59.078125
pr144.tsp,80599,1.8999786376953125,59.7265625
pr152.tsp,87995,1.3397243022918701,63.0390625
rat195.tsp,3234,1.3900573253631592,63.90625
bier127.tsp,158626,1.3095340728759766,61.37890625
kroA200.tsp,40028,1.4092016220092773,70.46875
kroB200.tsp,40703,1.3838310241699219,68.40625
rd100.tsp,10790,1.301915168762207,69.41015625
gil262.tsp,3308,1.5678009986877441,67.37890625
pr226.tsp,116694,1.451878547668457,68.39453125
a280.tsp,3592,1.5535576343536377,68.71875
ts225.tsp,188008,1.441133975982666,75.53515625
pr264.tsp,66470,1.5366404056549072,69.140625
tsp225.tsp,5161,1.4195492267608643,74.6171875
pr299.tsp,64645,1.6141035556793213,78.56640625
lin318.tsp,58138,1.6772375106811523,86.46875
linhp318.tsp,58138,1.678365707397461,79.1484375
ch130.tsp,8129,2.5111773014068604,78.01171875
u159.tsp,57791,1.3480277061462402,79.2109375
ch150.tsp,8347,1.3047499656677246,68.6953125
d198.tsp,18936,1.4026563167572021,70.9765625
pr439.tsp,144623,1.192901372909546,93.64453125
rat575.tsp,9393,1.719583511352539,136.71875
rat783.tsp,11921,2.8231468200683594,205.890625
rd400.tsp,20331,1.220461130142212,192.03515625
fl417.tsp,16200,1.221940040588379,109.9375
pcb442.tsp,69223,1.3301382064819336,115.99609375
d493.tsp,44884,1.4905667304992676,126.08984375
pr1002.tsp,342216,4.295151948928833,279.37890625
u574.tsp,48902,1.7238106727600098,274.93359375
p654.tsp,49699,1.9452869892120361,175.2265625
d657.tsp,66342,2.1481471061706543,190.46875
u724.tsp,57721,2.32030987739563,217.734375
u1060.tsp,305849,4.530248641967773,340.63671875
vm1084.tsp,315277,4.89371395111084,445.98046875
nrw1379.tsp,79188,7.674930572509766,604.1171875
pcb1173.tsp,80761,5.83149790763855,634.4609375
d1291.tsp,75282,6.757813453674316,555.69140625
rl1304.tsp,348309,7.087710380554199,604.01171875
rl1323.tsp,380427,7.3387770652771,613.76171875
fl1400.tsp,28022,7.5756003856658936,703.58984375
u1432.tsp,214417,8.059516668319702,794.83984375
fl1577.tsp,30257,9.583516359329224,877.33203125
d1655.tsp,85285,10.763152837753296,992.04296875
vm1748.tsp,442756,12.451311349868774,1064.69140625
u1817.tsp,82013,13.281290054321289,1148.9453125
rl1889.tsp,448611,14.644090414047241,1255.4375
d2103.tsp,123086,17.546993494033813,1422.53125
u2152.tsp,93801,18.064452409744263,1581.3046875
u2319.tsp,320506,20.38584041595459,1722.6015625
pr2392.tsp,523107,23.708547830581665,1853.61328125
pcb3038.tsp,197498,37.571635007858276,2621.53125
fnl4461.tsp,255829,100.87483549118042,4248.875
fl3795.tsp,36256,72.39695239067078,4756.171875
rl5915.tsp,842903,273.87847876548767,5167.46875
rl5934.tsp,817449,332.1360549926758,5139.61328125
