Nome do Teste,Custo,Tempo de Execução,Memória
eil51.tsp,462,2.523001194000244,51.9921875
st70.tsp,770,1.3580291271209717,52.8984375
eil76.tsp,608,1.416867733001709,54.1796875
berlin52.tsp,8591,2.2284414768218994,55.2109375
eil101.tsp,707,1.8843357563018799,56.8359375
rat99.tsp,1393,1.5065670013427734,56.2265625
pr76.tsp,116684,1.3473715782165527,56.35546875
kroC100.tsp,23470,1.4797496795654297,57.265625
kroD100.tsp,23583,1.5032079219818115,59.3828125
kroE100.tsp,23783,1.5766494274139404,61.2734375
kroA100.tsp,23293,1.5269010066986084,62.75
kroB100.tsp,24012,1.4204936027526855,59.24609375
lin105.tsp,16320,1.5035481452941895,59.68359375
pr107.tsp,47891,1.438685417175293,61.03125
pr124.tsp,64438,1.424311637878418,64.234375
kroB150.tsp,30053,1.3291056156158447,61.58984375
kroA150.tsp,29688,1.2972712516784668,65.30078125
pr136.tsp,103771,1.3924801349639893,63.50390625
pr144.tsp,70404,1.3920564651489258,64.1328125
pr152.tsp,79311,1.4069290161132812,63.03125
rat195.tsp,2630,1.345393180847168,65.73046875
bier127.tsp,132448,1.1257572174072266,64.59375
kroA200.tsp,33232,1.9222369194030762,75.0
kroB200.tsp,33119,1.699167013168335,71.9765625
rd100.tsp,8906,1.673811912536621,72.578125
gil262.tsp,2724,2.3915553092956543,70.6796875
pr226.tsp,92415,1.423002004623413,76.30078125
a280.tsp,2913,2.140946865081787,75.69921875
ts225.tsp,134282,1.5832881927490234,76.14453125
pr264.tsp,54662,1.3917348384857178,77.30859375
tsp225.tsp,4397,1.4844269752502441,77.26171875
pr299.tsp,52969,3.0980381965637207,77.07421875
lin318.tsp,47246,3.70519757270813,83.1796875
linhp318.tsp,47246,3.6896579265594482,84.625
ch130.tsp,6773,1.6422450542449951,68.64453125
u159.tsp,47586,1.0320894718170166,69.01171875
ch150.tsp,7135,1.7004361152648926,70.07421875
d198.tsp,17347,1.5010652542114258,68.73046875
pr439.tsp,119525,4.54993462562561,94.62890625
rat575.tsp,7811,16.260454416275024,141.91796875
rat783.tsp,10036,38.69295930862427,205.53125
rd400.tsp,17501,8.488556385040283,209.23046875
fl417.tsp,13175,3.7979319095611572,110.828125
pcb442.tsp,54868,7.939870357513428,121.3515625
d493.tsp,38697,13.863509893417358,136.3359375
pr1002.tsp,286203,85.55424332618713,279.6015625
u574.tsp,41424,16.161388397216797,321.2265625
p654.tsp,39292,4.064053058624268,184.93359375
d657.tsp,55007,25.936843156814575,189.20703125
u724.tsp,47431,29.609187602996826,230.86328125
u1060.tsp,249289,86.96884989738464,333.8359375
vm1084.tsp,260770,55.35798120498657,476.8203125
nrw1379.tsp,63703,237.69786643981934,624.05078125
pcb1173.tsp,63767,77.74935984611511,705.8359375
d1291.tsp,57655,27.276393175125122,579.03125
rl1304.tsp,277037,28.916551113128662,610.16796875
rl1323.tsp,298272,29.139350414276123,627.70703125
fl1400.tsp,23005,248.54729413986206,718.3828125
u1432.tsp,171469,114.32390975952148,897.2421875
fl1577.tsp,24606,66.19245958328247,936.01171875
d1655.tsp,69721,140.72652626037598,1031.1328125
vm1748.tsp,376275,197.0412220954895,1138.46484375
u1817.tsp,66125,126.93619871139526,1207.65625
rl1889.tsp,344580,86.21192955970764,1282.5390625
d2103.tsp,84209,22.833881378173828,1426.796875
u2152.tsp,72407,195.46036958694458,1562.640625
u2319.tsp,271669,902.9083154201508,1808.08984375
pr2392.tsp,425940,819.0870962142944,2184.5625
pcb3038.tsp,154670,1247.2756872177124,2815.23046875
fnl4461.tsp,205834,6891.566321611404,4428.5625
